BORR - Stable Isotope Database - Precipitation,,,,,,
Start Datetime,End Datetime,Bulk,Type,δ¹⁸O,δD,Location
3/22/2021 11:00:00,3/22/2021 11:00:00,0,Stream,-6.59,-45.33,SDC
4/4/2021 11:00:00,4/4/2021 11:00:00,0,Stream,-7.35,-46.70,NDC
4/4/2021 11:00:00,4/4/2021 11:00:00,0,Stream,-6.29,-44.10,SDC
4/13/2021 17:00:00,4/13/2021 17:00:00,0,Stream,-7.20,-45.78,NDC
4/13/2021 17:00:00,4/13/2021 17:00:00,0,Stream,-5.92,-42.94,SDC
4/21/2021 9:00:00,4/21/2021 9:00:00,0,Stream,-7.12,-45.48,NDC
4/21/2021 9:10:00,4/21/2021 9:00:00,0,Stream,-7.34,-46.59,SDC
4/27/2021 10:00:00,4/27/2021 10:00:00,0,Stream,-7.04,-44.97,NDC
4/27/2021 10:00:00,4/27/2021 10:00:00,0,Stream,-7.32,-46.55,SDC
BORR - Stable Isotope Database - Groundwater,,,,,,
Start Datetime,End Datetime,Bulk,Type,δ18O,δD,Location
1/28/2021 14:00:00,1/28/2021 14:00:00,0,Piezometer,-7.67,-49.80,S1 PIE
1/28/2021 14:00:00,1/28/2021 14:00:00,0,Piezometer,-9.74,-64.78,S1 PIE
1/30/2021 2:00:00,1/30/2021 2:00:00,0,Piezometer,-7.05,-44.50,N1 PIE
2/2/2021 0:00:00,2/2/2021 0:00:00,0,Piezometer,-7.09,-44.69,N1 PIE
2/2/2021 0:00:00,2/2/2021 23:00:00,1,Piezometer,-8.39,-54.13,S1 PIE
2/4/2021 0:00:00,2/4/2021 23:00:00,1,Piezometer,-7.13,-47.59,N1 PIE
2/4/2021 0:00:00,2/4/2021 23:00:00,1,Piezometer,-8.58,-59.05,S1 PIE
2/12/2021 0:00:00,2/12/2021 23:00:00,1,Piezometer,-7.28,-48.38,N1 PIE
2/12/2021 0:00:00,2/12/2021 23:00:00,1,Piezometer,-8.86,-59.42,S1 PIE
2/28/2021 12:00:00,2/28/2021 12:00:00,0,Piezometer,-7.24,-46.21,N1 PIE
3/11/2021 11:00:00,3/11/2021 11:00:00,0,Piezometer,-7.19,-45.84,N1 PIE
3/11/2021 11:00:00,3/11/2021 11:00:00,0,Piezometer,-8.39,-54.28,S1 PIE
3/18/2021 3:00:00,3/18/2021 3:00:00,0,Piezometer,-7.05,-45.62,N1 PIE
3/18/2021 15:00:00,3/18/2021 15:00:00,0,Piezometer,-8.47,-54.10,S1 PIE
3/19/2021 0:00:00,3/19/2021 23:00:00,1,Piezometer,-7.45,-46.85,N1 PIE
1/27/2021 9:00:00,1/27/2021 9:00:00,0,GW Well,-6.22,-39.29,Rip Well
1/27/2021 9:00:00,1/27/2021 9:00:00,0,GW Well,-6.33,-38.41,Stream Well
1/28/2021 14:00:00,1/28/2021 14:00:00,0,GW Well,-6.91,-45.06,N1
1/28/2021 14:00:00,1/28/2021 14:00:00,0,GW Well,-11.86,-82.26,N4
1/28/2021 14:00:00,1/28/2021 14:00:00,0,GW Well,-10.94,-69.58,S1
1/28/2021 14:00:00,1/28/2021 14:00:00,0,GW Well,-7.42,-49.29,S2
1/28/2021 14:00:00,1/28/2021 14:00:00,0,GW Well,-10.49,-73.32,S3
1/28/2021 18:00:00,1/28/2021 18:00:00,0,GW Well,-7.57,-49.43,Rip Well
1/28/2021 18:00:00,1/28/2021 18:00:00,0,GW Well,-8.63,-55.77,Stream Well
1/30/2021 16:00:00,1/30/2021 16:00:00,0,GW Well,-8.76,-56.99,Stream Well
2/4/2021 13:00:00,2/4/2021 13:00:00,0,GW Well,-8.15,-52.63,Rip Well
2/12/2021 0:00:00,2/12/2021 23:00:00,1,GW Well,-7.43,-49.48,S2
2/12/2021 0:00:00,2/12/2021 23:00:00,1,GW Well,-8.90,-59.34,S3
3/2/2021 11:00:00,3/2/2021 11:00:00,0,GW Well,-6.93,-43.75,Rip Well
3/2/2021 11:00:00,3/2/2021 11:00:00,0,GW Well,-7.33,-47.36,Stream Well
3/9/2021 13:00:00,3/9/2021 13:00:00,0,GW Well,-7.16,-46.07,Rip Well
3/9/2021 13:00:00,3/9/2021 13:00:00,0,GW Well,-7.15,-46.47,Stream Well
3/10/2021 11:00:00,3/10/2021 11:00:00,0,GW Well,-7.23,-46.35,Rip Well
3/10/2021 11:00:00,3/10/2021 11:00:00,0,GW Well,-7.37,-47.20,Stream Well
3/10/2021 18:00:00,3/10/2021 18:00:00,0,GW Well,-7.24,-46.54,Rip Well
