Optimization Results - Kumaraswamy,,,,,,,,,,,
"NDC (varying a[0.05,1], b=1)",,,,,,"SDC (varying a[0.05,1], b=1)",,,,,
iter,a,b,C_old,S_init,RMSE,iter,a,b,C_old,S_init,RMSE
7,1.000,0.990,-7.090,99.966,0.970,7,1.000,0.990,-7.090,99.890,1.070
8,1.000,0.990,-7.090,99.966,0.970,8,1.000,0.990,-7.090,99.890,1.070
9,1.000,0.990,-7.090,99.966,0.970,9,1.000,0.990,-7.090,99.890,1.070
10,1.000,0.990,-7.090,99.870,0.968,10,1.000,0.990,-7.090,99.807,1.069
11,1.000,0.990,-7.090,99.870,0.968,11,1.000,0.990,-7.090,99.807,1.069
12,1.000,0.990,-7.090,99.870,0.968,12,1.000,0.990,-7.090,99.807,1.069
13,1.000,0.990,-7.090,99.389,0.959,13,1.000,0.990,-7.090,99.393,1.062
14,1.000,0.990,-7.090,99.389,0.959,14,1.000,0.990,-7.090,99.393,1.062
15,1.000,0.990,-7.090,99.389,0.959,15,1.000,0.990,-7.090,99.393,1.062
16,1.000,0.990,-7.090,96.990,0.913,16,1.000,0.990,-7.090,97.364,1.029
17,1.000,0.990,-7.090,96.990,0.913,17,1.000,0.990,-7.090,97.364,1.029
18,1.000,0.990,-7.090,96.990,0.913,18,1.000,0.990,-7.090,97.364,1.029
19,1.000,0.990,-7.090,85.172,0.708,19,1.000,0.990,-7.090,87.160,0.868
20,1.000,0.990,-7.090,85.172,0.708,20,1.000,0.990,-7.090,87.160,0.868
21,1.000,0.990,-7.090,85.172,0.708,21,1.000,0.990,-7.090,87.160,0.868
22,1.000,0.931,-7.090,29.373,1.482,22,1.000,0.990,-7.090,38.914,0.920
23,1.000,0.976,-7.090,71.685,0.591,23,1.000,0.990,-7.090,64.619,0.636
24,1.000,0.976,-7.090,71.685,0.591,24,1.000,0.990,-7.090,64.619,0.636
25,1.000,0.976,-7.090,71.685,0.591,25,1.000,0.990,-7.090,64.619,0.636
26,1.000,0.976,-7.090,68.867,0.589,26,1.000,0.989,-7.090,61.117,0.635
27,1.000,0.976,-7.090,68.867,0.589,27,1.000,0.989,-7.090,61.117,0.635
28,1.000,0.976,-7.090,68.867,0.589,28,1.000,0.989,-7.090,61.117,0.635
29,1.000,0.984,-7.090,70.593,0.587,29,1.000,0.989,-7.090,62.433,0.634
30,1.000,0.984,-7.090,70.593,0.587,30,1.000,0.989,-7.090,62.433,0.634
31,1.000,0.984,-7.090,70.593,0.587,31,1.000,0.989,-7.090,62.433,0.634
32,1.000,0.990,-7.090,71.404,0.587,32,1.000,0.987,-7.090,62.282,0.634
33,1.000,0.990,-7.090,71.404,0.587,33,1.000,0.987,-7.090,62.282,0.634
34,1.000,0.990,-7.090,71.404,0.587,34,1.000,0.987,-7.090,62.282,0.634
35,1.000,0.990,-7.090,71.323,0.587,35,1.000,0.978,-7.090,61.201,0.634
36,1.000,0.990,-7.090,71.323,0.587,36,1.000,0.978,-7.090,61.201,0.634
37,1.000,0.990,-7.090,71.323,0.587,37,1.000,0.978,-7.090,61.201,0.634
38,1.000,0.990,-7.090,71.213,0.587,38,1.000,0.909,-7.090,53.840,0.632
39,1.000,0.990,-7.090,71.213,0.587,39,1.000,0.909,-7.090,53.840,0.632
40,1.000,0.990,-7.090,71.213,0.587,40,1.000,0.909,-7.090,53.840,0.632
,,,,,,41,1.000,0.408,-7.090,0.000,0.913
,,,,,,42,1.000,0.859,-7.090,48.456,0.636
,,,,,,43,1.000,0.898,-7.090,52.627,0.633
,,,,,,44,1.000,0.906,-7.090,53.537,0.632
,,,,,,45,1.000,0.908,-7.090,53.731,0.632
,,,,,,46,1.000,0.908,-7.090,53.731,0.632
,,,,,,47,1.000,0.908,-7.090,53.731,0.632
,,,,,,48,1.000,0.907,-7.090,53.944,0.632
,,,,,,49,1.000,0.907,-7.090,53.944,0.632
,,,,,,50,1.000,0.907,-7.090,53.944,0.632
,,,,,,51,1.000,0.907,-7.090,53.942,0.632
,,,,,,52,1.000,0.907,-7.090,53.942,0.632
,,,,,,53,1.000,0.907,-7.090,53.942,0.632
,,,,,,54,1.000,0.899,-7.090,53.678,0.633
,,,,,,55,1.000,0.905,-7.090,53.881,0.632
,,,,,,56,1.000,0.906,-7.090,53.923,0.632
,,,,,,57,1.000,0.906,-7.090,53.923,0.632
,,,,,,58,1.000,0.906,-7.090,53.923,0.632
,,,,,,59,1.000,0.906,-7.090,53.927,0.632
,,,,,,60,1.000,0.906,-7.090,53.927,0.632
,,,,,,61,1.000,0.906,-7.090,53.927,0.632
,,,,,,62,1.000,0.906,-7.090,53.917,0.632
,,,,,,63,1.000,0.906,-7.090,53.923,0.632
,,,,,,64,1.000,0.906,-7.090,53.923,0.632
,,,,,,65,1.000,0.906,-7.090,53.923,0.632
,,,,,,66,1.000,0.907,-7.090,53.918,0.632
,,,,,,67,1.000,0.907,-7.090,53.918,0.632
,,,,,,68,1.000,0.907,-7.090,53.918,0.632
,,,,,,69,1.000,0.907,-7.090,53.904,0.632
,,,,,,70,1.000,0.907,-7.090,53.915,0.632
,,,,,,71,1.000,0.907,-7.090,53.917,0.632
"NDC (Varying a [1-10], b=1)",,,,,,"SDC (Varying a [1-10], b=1)",,,,,
iter,a,b,C_old,S_init,RMSE,iter,a,b,C_old,S_init,RMSE
1,5.000,1.000,-7.090,100.000,4.792,1,5.000,1.000,-7.090,100.000,4.304
2,5.000,1.000,-7.090,100.000,4.792,2,5.000,1.000,-7.090,100.000,4.304
3,5.000,1.000,-7.090,100.000,4.792,3,5.000,1.000,-7.090,100.000,4.304
4,4.708,1.000,-7.090,99.961,4.700,4,4.734,1.000,-7.090,99.973,4.231
5,4.708,1.000,-7.090,99.961,4.700,5,4.734,1.000,-7.090,99.973,4.231
6,4.708,1.000,-7.090,99.961,4.700,6,4.734,1.000,-7.090,99.973,4.231
7,3.081,1.000,-7.090,99.770,3.909,7,3.299,1.000,-7.090,99.840,3.666
8,3.081,1.000,-7.090,99.770,3.909,8,3.299,1.000,-7.090,99.840,3.666
9,3.081,1.000,-7.090,99.770,3.909,9,3.299,1.000,-7.090,99.840,3.666
10,1.000,1.000,-7.090,99.525,0.935,10,1.000,1.000,-7.090,99.628,1.046
11,1.000,1.000,-7.090,99.525,0.935,11,1.000,1.000,-7.090,99.628,1.046
